team_1,team_2,score,link
Барыс,Динамо М,5:2,https://www.khl.ru/game/1369/897533/resume/
Адмирал,Сибирь,2:0,https://www.khl.ru/game/1369/897534/resume/
Нефтехимик,Локомотив,5:4 ОТ,https://www.khl.ru/game/1369/897524/resume/
Северсталь,ЦСКА,1:2,https://www.khl.ru/game/1369/897525/resume/
Спартак,Торпедо,3:4 ОТ,https://www.khl.ru/game/1369/897526/resume/
Ак Барс,Металлург Мг,3:6,https://www.khl.ru/game/1369/897527/resume/
СКА,Лада,6:1,https://www.khl.ru/game/1369/897528/resume/
ХК Сочи,Трактор,3:4 ОТ,https://www.khl.ru/game/1369/897529/resume/
Авангард,Динамо М,7:4,https://www.khl.ru/game/1369/897522/resume/
Барыс,Динамо Мн,1:3,https://www.khl.ru/game/1369/897523/resume/
Сибирь,Адмирал,2:1 Б,https://www.khl.ru/game/1369/897517/resume/
Салават Юлаев,Автомобилист,1:4,https://www.khl.ru/game/1369/897518/resume/
ХК Сочи,ЦСКА,2:0,https://www.khl.ru/game/1369/897519/resume/
Драконы,Локомотив,4:1,https://www.khl.ru/game/1369/897520/resume/
Торпедо,Лада,4:3,https://www.khl.ru/game/1369/897521/resume/
Авангард,Амур,2:1,https://www.khl.ru/game/1369/897512/resume/
Нефтехимик,Динамо Мн,4:3,https://www.khl.ru/game/1369/897513/resume/
Металлург Мг,Динамо М,1:2 Б,https://www.khl.ru/game/1369/897514/resume/
Спартак,Северсталь,1:2,https://www.khl.ru/game/1369/897515/resume/
СКА,Трактор,5:2,https://www.khl.ru/game/1369/897516/resume/
Ак Барс,Автомобилист,3:6,https://www.khl.ru/game/1369/897510/resume/
ЦСКА,Адмирал,1:0,https://www.khl.ru/game/1369/897511/resume/
Барыс,Амур,4:3 Б,https://www.khl.ru/game/1369/897505/resume/
Спартак,Динамо Мн,0:3,https://www.khl.ru/game/1369/897506/resume/
Локомотив,Северсталь,4:1,https://www.khl.ru/game/1369/897507/resume/
Динамо М,ХК Сочи,2:3 Б,https://www.khl.ru/game/1369/897508/resume/
Нефтехимик,Трактор,3:4,https://www.khl.ru/game/1369/897509/resume/
Торпедо,СКА,3:2 ОТ,https://www.khl.ru/game/1369/897500/resume/
Авангард,Ак Барс,1:2,https://www.khl.ru/game/1369/897501/resume/
Лада,Автомобилист,4:3,https://www.khl.ru/game/1369/897502/resume/
Драконы,Адмирал,3:4 Б,https://www.khl.ru/game/1369/897503/resume/
Металлург Мг,Салават Юлаев,2:3 ОТ,https://www.khl.ru/game/1369/897504/resume/
Барыс,Трактор,4:3 ОТ,https://www.khl.ru/game/1369/897496/resume/
Спартак,ХК Сочи,4:3,https://www.khl.ru/game/1369/897497/resume/
Нефтехимик,Северсталь,0:5,https://www.khl.ru/game/1369/897498/resume/
Сибирь,Амур,0:2,https://www.khl.ru/game/1369/897499/resume/
Металлург Мг,Ак Барс,4:3 Б,https://www.khl.ru/game/1369/897492/resume/
Торпедо,Салават Юлаев,4:3,https://www.khl.ru/game/1369/897493/resume/
ЦСКА,Динамо М,6:2,https://www.khl.ru/game/1369/897494/resume/
Драконы,СКА,7:4,https://www.khl.ru/game/1369/897495/resume/
Локомотив,Трактор,2:1 Б,https://www.khl.ru/game/1369/897491/resume/
